image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
132,jump,0.5754325,0.13710588,0.5854284,0.12337122,0.56091636,0.12471886,0.0,0.0,0.53636175,0.1442151,0.6227436,0.24392198,0.50505763,0.24398986,0.65914077,0.33967248,0.45226312,0.34409803,0.6959537,0.41351083,0.41322428,0.42404026,0.5943923,0.49521908,0.52106655,0.4943351,0.59427106,0.6898681,0.5204101,0.68659,0.57449126,0.8777291,0.51765263,0.8682531
133,jump,0.6794168,0.26107603,0.6900133,0.24785583,0.6692046,0.2471463,0.70440483,0.25903955,0.65189666,0.2564684,0.7215761,0.35301882,0.622481,0.3473632,0.7348417,0.44974864,0.58939403,0.43908742,0.7333073,0.53758514,0.57983553,0.53282696,0.6907234,0.57090545,0.6270629,0.56848913,0.69702137,0.7275956,0.6260723,0.72465116,0.689277,0.85868496,0.6409105,0.8563422
134,jump,0.6017529,0.14337392,0.6109478,0.13019536,0.58875763,0.1326359,0.62587327,0.14448301,0.570989,0.15003854,0.6541363,0.22456032,0.5474068,0.23047443,0.7138933,0.25605196,0.49883556,0.26147527,0.6941419,0.18369493,0.5208166,0.17675816,0.633028,0.45658112,0.56730634,0.45941755,0.63589686,0.62341046,0.58074963,0.6276774,0.62758577,0.78404385,0.573841,0.7836234
135,jump,0.5534324,0.09072773,0.56384504,0.07162858,0.54127973,0.0737408,0.5788146,0.07864043,0.522503,0.08301731,0.60274273,0.18937597,0.49717543,0.1957376,0.6235805,0.29223105,0.46373785,0.30618763,0.59680116,0.36880362,0.5028838,0.38700023,0.5808774,0.43648577,0.51561046,0.43873584,0.576772,0.5978983,0.51914316,0.59729385,0.5537754,0.744329,0.5313632,0.7388786
136,jump,0.5831787,0.104392976,0.5928896,0.089626536,0.5699299,0.09231447,0.6081151,0.10240288,0.5498899,0.108104035,0.6416391,0.19795723,0.51638186,0.20376225,0.7273484,0.21713164,0.4324987,0.22689435,0.8066782,0.18834925,0.35350686,0.19061655,0.61230147,0.4682338,0.5328222,0.47016075,0.6334411,0.6673185,0.516605,0.67162895,0.6397826,0.851556,0.5081677,0.85174435
137,jump,0.5247859,0.18542147,0.5352939,0.17111245,0.51446056,0.17237368,0.55358875,0.17834523,0.5011907,0.18105493,0.58005047,0.2639791,0.47123426,0.26203004,0.6200963,0.34534827,0.42730147,0.3372253,0.57420594,0.30202204,0.4589551,0.3107197,0.5410181,0.4953192,0.47263488,0.49379894,0.5491371,0.66351944,0.48265418,0.6634046,0.5525235,0.82132685,0.49155015,0.82706076
138,jump,0.5434371,0.1106316,0.55531293,0.09252299,0.5328536,0.09434496,0.57705456,0.10148523,0.52043617,0.104199015,0.60478544,0.21167806,0.50486195,0.20651475,0.62919784,0.32910123,0.4823483,0.30933875,0.58213645,0.34238386,0.4976504,0.33583844,0.5774694,0.45610738,0.51217145,0.4509223,0.58129233,0.6188863,0.5063292,0.60960734,0.5748397,0.76432693,0.5122041,0.756691
139,jump,0.565696,0.11488944,0.5788208,0.09743304,0.55591875,0.09749741,0.6007396,0.10903904,0.54383755,0.106950626,0.62553555,0.21998616,0.524279,0.20750509,0.6448448,0.3427019,0.50037766,0.3052403,0.5944426,0.34760082,0.50849116,0.31896096,0.5933338,0.46526164,0.5268402,0.456452,0.59140956,0.6256367,0.5161627,0.61410475,0.5753845,0.76170355,0.5157961,0.75606877
140,jump,0.5458482,0.14423957,0.5554913,0.12730646,0.5333542,0.12883309,0.5695149,0.13762726,0.51456386,0.14154811,0.59132737,0.23860726,0.48931777,0.24527726,0.6160733,0.34042758,0.4535209,0.35350052,0.58534795,0.41900733,0.49644142,0.42398632,0.56791043,0.4790289,0.5052064,0.48083597,0.556055,0.6319113,0.5093934,0.63201857,0.5362899,0.7434245,0.5150825,0.7362723
141,jump,0.54457104,0.06726391,0.5547151,0.050148163,0.5318712,0.05268199,0.569854,0.06057228,0.5127617,0.06625526,0.5931016,0.16188481,0.48722026,0.16909403,0.61332285,0.2649744,0.45315322,0.27868173,0.5831816,0.3294806,0.4997333,0.3451934,0.5708694,0.4139657,0.5034553,0.41669944,0.56586504,0.58339125,0.502625,0.5850728,0.55124146,0.7417338,0.5050684,0.73726034
142,jump,0.6701057,0.13033971,0.6806669,0.11562757,0.65699494,0.11766087,0.6976327,0.12491271,0.63756883,0.12903363,0.72534144,0.22288726,0.61207587,0.2241716,0.73949385,0.32709175,0.5812455,0.33304474,0.72922826,0.4219286,0.5863713,0.44045314,0.69790536,0.47033134,0.6248499,0.4691898,0.6991313,0.6492638,0.61972904,0.64407766,0.67313516,0.82312363,0.62143105,0.8117794
