epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48198,1.04003,2.7246,1.29018,0.60931,0.86173,0.88787,0.62036,1.39441,1.2868,1.24641,0,0,0
2,4.86334,1.2506,2.96559,1.6191,0.58971,0.88407,0.88777,0.61517,1.39632,1.30624,1.24658,1.17822e-06,1.17822e-06,1.17822e-06
3,5.79733,1.30339,2.77127,1.56644,0.57016,0.87994,0.88812,0.60909,1.42822,1.3289,1.26362,2.33288e-06,2.33288e-06,2.33288e-06
4,6.48233,1.04372,2.67148,1.28543,0.54696,0.83333,0.87415,0.58621,1.45247,1.36157,1.27156,3.46397e-06,3.46397e-06,3.46397e-06
5,7.03202,1.12425,2.98202,1.51704,0.84676,0.57683,0.87397,0.58241,1.48331,1.42376,1.29335,4.5715e-06,4.5715e-06,4.5715e-06
6,7.54703,1.02648,2.16554,1.29909,0.82964,0.56667,0.87228,0.5812,1.48447,1.47991,1.30006,5.65548e-06,5.65548e-06,5.65548e-06
7,8.0342,1.50674,3.66674,1.82205,0.83622,0.58031,0.88829,0.57606,1.50202,1.56029,1.31988,6.71588e-06,6.71588e-06,6.71588e-06
8,8.53446,1.31223,3.2315,1.75258,0.80532,0.56943,0.88603,0.57226,1.51055,1.6219,1.33271,7.75273e-06,7.75273e-06,7.75273e-06
9,9.04438,1.49327,2.75844,1.60113,0.80554,0.58333,0.76114,0.57658,1.54631,1.68401,1.3579,8.76602e-06,8.76602e-06,8.76602e-06
10,9.54501,1.28448,2.50846,1.57539,0.76615,0.58333,0.74314,0.56727,1.54941,1.71338,1.35604,9.75574e-06,9.75574e-06,9.75574e-06
11,10.026,1.20543,1.87366,1.5134,0.77343,0.58333,0.74297,0.56743,1.55088,1.74036,1.35543,1.07219e-05,1.07219e-05,1.07219e-05
12,10.5267,1.34461,3.03532,1.60965,0.75437,0.58333,0.7432,0.56638,1.54462,1.79596,1.35445,1.16645e-05,1.16645e-05,1.16645e-05
13,11.0101,1.16404,2.61441,1.48373,0.71383,0.58333,0.74312,0.56636,1.55054,1.82364,1.36415,1.25835e-05,1.25835e-05,1.25835e-05
